Groups:
GPIO_[13..4] =, GPIO_[13], GPIO_[12], GPIO_[11], GPIO_[10], GPIO_[9], GPIO_[8], GPIO_[7], GPIO_[6], GPIO_[5], GPIO_[4],  unsigned decimal

Data:
time unit: ms, GPIO_[13..4], GPIO_[13], GPIO_[12], GPIO_[11], GPIO_[10], GPIO_[9], GPIO_[8], GPIO_[7], GPIO_[6], GPIO_[5], GPIO_[4], 
0, X, X, X, X, X, X, X, X, X, X, X, 
235, 298, 0, 1, 0, 0, 1, 0, 1, 0, 1, 0, 
236, 301, 0, 1, 0, 0, 1, 0, 1, 1, 0, 1, 
237, 301, 0, 1, 0, 0, 1, 0, 1, 1, 0, 1, 
238, 301, 0, 1, 0, 0, 1, 0, 1, 1, 0, 1, 
239, 304, 0, 1, 0, 0, 1, 1, 0, 0, 0, 0, 
240, 304, 0, 1, 0, 0, 1, 1, 0, 0, 0, 0, 
241, 306, 0, 1, 0, 0, 1, 1, 0, 0, 1, 0, 
242, 306, 0, 1, 0, 0, 1, 1, 0, 0, 1, 0, 
243, 309, 0, 1, 0, 0, 1, 1, 0, 1, 0, 1, 
244, 309, 0, 1, 0, 0, 1, 1, 0, 1, 0, 1, 
245, 309, 0, 1, 0, 0, 1, 1, 0, 1, 0, 1, 
246, 312, 0, 1, 0, 0, 1, 1, 1, 0, 0, 0, 
247, 312, 0, 1, 0, 0, 1, 1, 1, 0, 0, 0, 
248, 315, 0, 1, 0, 0, 1, 1, 1, 0, 1, 1, 
249, 315, 0, 1, 0, 0, 1, 1, 1, 0, 1, 1, 
250, 315, 0, 1, 0, 0, 1, 1, 1, 0, 1, 1, 
251, 318, 0, 1, 0, 0, 1, 1, 1, 1, 1, 0, 
252, 318, 0, 1, 0, 0, 1, 1, 1, 1, 1, 0, 
253, 321, 0, 1, 0, 1, 0, 0, 0, 0, 0, 1, 
254, 321, 0, 1, 0, 1, 0, 0, 0, 0, 0, 1, 
255, 321, 0, 1, 0, 1, 0, 0, 0, 0, 0, 1, 
256, 324, 0, 1, 0, 1, 0, 0, 0, 1, 0, 0, 
257, 324, 0, 1, 0, 1, 0, 0, 0, 1, 0, 0, 
258, 327, 0, 1, 0, 1, 0, 0, 0, 1, 1, 1, 
259, 327, 0, 1, 0, 1, 0, 0, 0, 1, 1, 1, 
260, 327, 0, 1, 0, 1, 0, 0, 0, 1, 1, 1, 
261, 330, 0, 1, 0, 1, 0, 0, 1, 0, 1, 0, 
262, 330, 0, 1, 0, 1, 0, 0, 1, 0, 1, 0, 
263, 333, 0, 1, 0, 1, 0, 0, 1, 1, 0, 1, 
264, 333, 0, 1, 0, 1, 0, 0, 1, 1, 0, 1, 
265, 335, 0, 1, 0, 1, 0, 0, 1, 1, 1, 1, 
266, 335, 0, 1, 0, 1, 0, 0, 1, 1, 1, 1, 
267, 335, 0, 1, 0, 1, 0, 0, 1, 1, 1, 1, 
268, 338, 0, 1, 0, 1, 0, 1, 0, 0, 1, 0, 
269, 338, 0, 1, 0, 1, 0, 1, 0, 0, 1, 0, 
270, 341, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 
271, 341, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 
272, 341, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 
273, 344, 0, 1, 0, 1, 0, 1, 1, 0, 0, 0, 
274, 344, 0, 1, 0, 1, 0, 1, 1, 0, 0, 0, 
275, 347, 0, 1, 0, 1, 0, 1, 1, 0, 1, 1, 
276, 347, 0, 1, 0, 1, 0, 1, 1, 0, 1, 1, 
277, 347, 0, 1, 0, 1, 0, 1, 1, 0, 1, 1, 
278, 350, 0, 1, 0, 1, 0, 1, 1, 1, 1, 0, 
279, 350, 0, 1, 0, 1, 0, 1, 1, 1, 1, 0, 
280, 353, 0, 1, 0, 1, 1, 0, 0, 0, 0, 1, 
281, 353, 0, 1, 0, 1, 1, 0, 0, 0, 0, 1, 
282, 353, 0, 1, 0, 1, 1, 0, 0, 0, 0, 1, 
283, 356, 0, 1, 0, 1, 1, 0, 0, 1, 0, 0, 
284, 356, 0, 1, 0, 1, 1, 0, 0, 1, 0, 0, 
285, 359, 0, 1, 0, 1, 1, 0, 0, 1, 1, 1, 
286, 359, 0, 1, 0, 1, 1, 0, 0, 1, 1, 1, 
287, 362, 0, 1, 0, 1, 1, 0, 1, 0, 1, 0, 
288, 362, 0, 1, 0, 1, 1, 0, 1, 0, 1, 0, 
289, 362, 0, 1, 0, 1, 1, 0, 1, 0, 1, 0, 
290, 365, 0, 1, 0, 1, 1, 0, 1, 1, 0, 1, 
291, 365, 0, 1, 0, 1, 1, 0, 1, 1, 0, 1, 
292, 368, 0, 1, 0, 1, 1, 1, 0, 0, 0, 0, 
293, 368, 0, 1, 0, 1, 1, 1, 0, 0, 0, 0, 
294, 368, 0, 1, 0, 1, 1, 1, 0, 0, 0, 0, 
295, 371, 0, 1, 0, 1, 1, 1, 0, 0, 1, 1, 
296, 371, 0, 1, 0, 1, 1, 1, 0, 0, 1, 1, 
297, 374, 0, 1, 0, 1, 1, 1, 0, 1, 1, 0, 
298, 374, 0, 1, 0, 1, 1, 1, 0, 1, 1, 0, 
299, 374, 0, 1, 0, 1, 1, 1, 0, 1, 1, 0, 
300, 377, 0, 1, 0, 1, 1, 1, 1, 0, 0, 1, 
301, 377, 0, 1, 0, 1, 1, 1, 1, 0, 0, 1, 
302, 380, 0, 1, 0, 1, 1, 1, 1, 1, 0, 0, 
303, 380, 0, 1, 0, 1, 1, 1, 1, 1, 0, 0, 
304, 383, 0, 1, 0, 1, 1, 1, 1, 1, 1, 1, 
305, 383, 0, 1, 0, 1, 1, 1, 1, 1, 1, 1, 
306, 383, 0, 1, 0, 1, 1, 1, 1, 1, 1, 1, 
307, 386, 0, 1, 1, 0, 0, 0, 0, 0, 1, 0, 
308, 386, 0, 1, 1, 0, 0, 0, 0, 0, 1, 0, 
309, 389, 0, 1, 1, 0, 0, 0, 0, 1, 0, 1, 
310, 389, 0, 1, 1, 0, 0, 0, 0, 1, 0, 1, 
311, 389, 0, 1, 1, 0, 0, 0, 0, 1, 0, 1, 
312, 392, 0, 1, 1, 0, 0, 0, 1, 0, 0, 0, 
313, 392, 0, 1, 1, 0, 0, 0, 1, 0, 0, 0, 
314, 395, 0, 1, 1, 0, 0, 0, 1, 0, 1, 1, 
315, 395, 0, 1, 1, 0, 0, 0, 1, 0, 1, 1, 
316, 395, 0, 1, 1, 0, 0, 0, 1, 0, 1, 1, 
317, 399, 0, 1, 1, 0, 0, 0, 1, 1, 1, 1, 
318, 399, 0, 1, 1, 0, 0, 0, 1, 1, 1, 1, 
319, 402, 0, 1, 1, 0, 0, 1, 0, 0, 1, 0, 
320, 402, 0, 1, 1, 0, 0, 1, 0, 0, 1, 0, 
321, 402, 0, 1, 1, 0, 0, 1, 0, 0, 1, 0, 
322, 405, 0, 1, 1, 0, 0, 1, 0, 1, 0, 1, 
