Groups:
GPIO_[13..4] =, GPIO_[13], GPIO_[12], GPIO_[11], GPIO_[10], GPIO_[9], GPIO_[8], GPIO_[7], GPIO_[6], GPIO_[5], GPIO_[4],  unsigned decimal

Data:
time unit: s, GPIO_[13..4], GPIO_[13], GPIO_[12], GPIO_[11], GPIO_[10], GPIO_[9], GPIO_[8], GPIO_[7], GPIO_[6], GPIO_[5], GPIO_[4], 
0, X, X, X, X, X, X, X, X, X, X, X, 
210, 502, 0, 1, 1, 1, 1, 1, 0, 1, 1, 0, 
211, 498, 0, 1, 1, 1, 1, 1, 0, 0, 1, 0, 
212, 495, 0, 1, 1, 1, 1, 0, 1, 1, 1, 1, 
213, 495, 0, 1, 1, 1, 1, 0, 1, 1, 1, 1, 
214, 492, 0, 1, 1, 1, 1, 0, 1, 1, 0, 0, 
215, 489, 0, 1, 1, 1, 1, 0, 1, 0, 0, 1, 
216, 486, 0, 1, 1, 1, 1, 0, 0, 1, 1, 0, 
217, 483, 0, 1, 1, 1, 1, 0, 0, 0, 1, 1, 
218, 480, 0, 1, 1, 1, 1, 0, 0, 0, 0, 0, 
219, 480, 0, 1, 1, 1, 1, 0, 0, 0, 0, 0, 
220, 477, 0, 1, 1, 1, 0, 1, 1, 1, 0, 1, 
221, 473, 0, 1, 1, 1, 0, 1, 1, 0, 0, 1, 
222, 470, 0, 1, 1, 1, 0, 1, 0, 1, 1, 0, 
223, 467, 0, 1, 1, 1, 0, 1, 0, 0, 1, 1, 
224, 464, 0, 1, 1, 1, 0, 1, 0, 0, 0, 0, 
225, 464, 0, 1, 1, 1, 0, 1, 0, 0, 0, 0, 
226, 461, 0, 1, 1, 1, 0, 0, 1, 1, 0, 1, 
227, 458, 0, 1, 1, 1, 0, 0, 1, 0, 1, 0, 
228, 455, 0, 1, 1, 1, 0, 0, 0, 1, 1, 1, 
229, 452, 0, 1, 1, 1, 0, 0, 0, 1, 0, 0, 
230, 452, 0, 1, 1, 1, 0, 0, 0, 1, 0, 0, 
231, 448, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 
232, 445, 0, 1, 1, 0, 1, 1, 1, 1, 0, 1, 
233, 442, 0, 1, 1, 0, 1, 1, 1, 0, 1, 0, 
234, 439, 0, 1, 1, 0, 1, 1, 0, 1, 1, 1, 
235, 436, 0, 1, 1, 0, 1, 1, 0, 1, 0, 0, 
236, 436, 0, 1, 1, 0, 1, 1, 0, 1, 0, 0, 
237, 433, 0, 1, 1, 0, 1, 1, 0, 0, 0, 1, 
238, 430, 0, 1, 1, 0, 1, 0, 1, 1, 1, 0, 
239, 427, 0, 1, 1, 0, 1, 0, 1, 0, 1, 1, 
240, 424, 0, 1, 1, 0, 1, 0, 1, 0, 0, 0, 
241, 424, 0, 1, 1, 0, 1, 0, 1, 0, 0, 0, 
242, 421, 0, 1, 1, 0, 1, 0, 0, 1, 0, 1, 
243, 418, 0, 1, 1, 0, 1, 0, 0, 0, 1, 0, 
244, 414, 0, 1, 1, 0, 0, 1, 1, 1, 1, 0, 
245, 411, 0, 1, 1, 0, 0, 1, 1, 0, 1, 1, 
246, 408, 0, 1, 1, 0, 0, 1, 1, 0, 0, 0, 
247, 408, 0, 1, 1, 0, 0, 1, 1, 0, 0, 0, 
248, 405, 0, 1, 1, 0, 0, 1, 0, 1, 0, 1, 
249, 402, 0, 1, 1, 0, 0, 1, 0, 0, 1, 0, 
250, 399, 0, 1, 1, 0, 0, 0, 1, 1, 1, 1, 
251, 396, 0, 1, 1, 0, 0, 0, 1, 1, 0, 0, 
252, 396, 0, 1, 1, 0, 0, 0, 1, 1, 0, 0, 
253, 393, 0, 1, 1, 0, 0, 0, 1, 0, 0, 1, 
254, 390, 0, 1, 1, 0, 0, 0, 0, 1, 1, 0, 
255, 387, 0, 1, 1, 0, 0, 0, 0, 0, 1, 1, 
256, 384, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 
257, 381, 0, 1, 0, 1, 1, 1, 1, 1, 0, 1, 
258, 381, 0, 1, 0, 1, 1, 1, 1, 1, 0, 1, 
259, 378, 0, 1, 0, 1, 1, 1, 1, 0, 1, 0, 
260, 375, 0, 1, 0, 1, 1, 1, 0, 1, 1, 1, 
261, 372, 0, 1, 0, 1, 1, 1, 0, 1, 0, 0, 
262, 369, 0, 1, 0, 1, 1, 1, 0, 0, 0, 1, 
263, 369, 0, 1, 0, 1, 1, 1, 0, 0, 0, 1, 
264, 366, 0, 1, 0, 1, 1, 0, 1, 1, 1, 0, 
265, 363, 0, 1, 0, 1, 1, 0, 1, 0, 1, 1, 
266, 360, 0, 1, 0, 1, 1, 0, 1, 0, 0, 0, 
267, 357, 0, 1, 0, 1, 1, 0, 0, 1, 0, 1, 
268, 354, 0, 1, 0, 1, 1, 0, 0, 0, 1, 0, 
269, 354, 0, 1, 0, 1, 1, 0, 0, 0, 1, 0, 
270, 351, 0, 1, 0, 1, 0, 1, 1, 1, 1, 1, 
271, 348, 0, 1, 0, 1, 0, 1, 1, 1, 0, 0, 
272, 345, 0, 1, 0, 1, 0, 1, 1, 0, 0, 1, 
273, 342, 0, 1, 0, 1, 0, 1, 0, 1, 1, 0, 
274, 342, 0, 1, 0, 1, 0, 1, 0, 1, 1, 0, 
275, 339, 0, 1, 0, 1, 0, 1, 0, 0, 1, 1, 
276, 336, 0, 1, 0, 1, 0, 1, 0, 0, 0, 0, 
277, 333, 0, 1, 0, 1, 0, 0, 1, 1, 0, 1, 
278, 330, 0, 1, 0, 1, 0, 0, 1, 0, 1, 0, 
279, 327, 0, 1, 0, 1, 0, 0, 0, 1, 1, 1, 
280, 327, 0, 1, 0, 1, 0, 0, 0, 1, 1, 1, 
281, 324, 0, 1, 0, 1, 0, 0, 0, 1, 0, 0, 
282, 321, 0, 1, 0, 1, 0, 0, 0, 0, 0, 1, 
283, 318, 0, 1, 0, 0, 1, 1, 1, 1, 1, 0, 
284, 316, 0, 1, 0, 0, 1, 1, 1, 1, 0, 0, 
285, 316, 0, 1, 0, 0, 1, 1, 1, 1, 0, 0, 
286, 313, 0, 1, 0, 0, 1, 1, 1, 0, 0, 1, 
287, 310, 0, 1, 0, 0, 1, 1, 0, 1, 1, 0, 
288, 307, 0, 1, 0, 0, 1, 1, 0, 0, 1, 1, 
289, 304, 0, 1, 0, 0, 1, 1, 0, 0, 0, 0, 
290, 301, 0, 1, 0, 0, 1, 0, 1, 1, 0, 1, 
291, 301, 0, 1, 0, 0, 1, 0, 1, 1, 0, 1, 
292, 298, 0, 1, 0, 0, 1, 0, 1, 0, 1, 0, 
293, 295, 0, 1, 0, 0, 1, 0, 0, 1, 1, 1, 
294, 293, 0, 1, 0, 0, 1, 0, 0, 1, 0, 1, 
295, 290, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 
296, 290, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 
297, 287, 0, 1, 0, 0, 0, 1, 1, 1, 1, 1, 
298, 284, 0, 1, 0, 0, 0, 1, 1, 1, 0, 0, 
299, 281, 0, 1, 0, 0, 0, 1, 1, 0, 0, 1, 
300, 279, 0, 1, 0, 0, 0, 1, 0, 1, 1, 1, 
301, 276, 0, 1, 0, 0, 0, 1, 0, 1, 0, 0, 
302, 276, 0, 1, 0, 0, 0, 1, 0, 1, 0, 0, 
303, 273, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 
304, 270, 0, 1, 0, 0, 0, 0, 1, 1, 1, 0, 
305, 267, 0, 1, 0, 0, 0, 0, 1, 0, 1, 1, 
306, 265, 0, 1, 0, 0, 0, 0, 1, 0, 0, 1, 
307, 265, 0, 1, 0, 0, 0, 0, 1, 0, 0, 1, 
308, 262, 0, 1, 0, 0, 0, 0, 0, 1, 1, 0, 
309, 259, 0, 1, 0, 0, 0, 0, 0, 0, 1, 1, 
310, 257, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 
311, 254, 0, 0, 1, 1, 1, 1, 1, 1, 1, 0, 
312, 251, 0, 0, 1, 1, 1, 1, 1, 0, 1, 1, 
313, 251, 0, 0, 1, 1, 1, 1, 1, 0, 1, 1, 
314, 248, 0, 0, 1, 1, 1, 1, 1, 0, 0, 0, 
315, 246, 0, 0, 1, 1, 1, 1, 0, 1, 1, 0, 
316, 243, 0, 0, 1, 1, 1, 1, 0, 0, 1, 1, 
317, 240, 0, 0, 1, 1, 1, 1, 0, 0, 0, 0, 
318, 238, 0, 0, 1, 1, 1, 0, 1, 1, 1, 0, 
319, 238, 0, 0, 1, 1, 1, 0, 1, 1, 1, 0, 
320, 235, 0, 0, 1, 1, 1, 0, 1, 0, 1, 1, 
321, 232, 0, 0, 1, 1, 1, 0, 1, 0, 0, 0, 
322, 230, 0, 0, 1, 1, 1, 0, 0, 1, 1, 0, 
323, 227, 0, 0, 1, 1, 1, 0, 0, 0, 1, 1, 
324, 227, 0, 0, 1, 1, 1, 0, 0, 0, 1, 1, 
325, 225, 0, 0, 1, 1, 1, 0, 0, 0, 0, 1, 
326, 222, 0, 0, 1, 1, 0, 1, 1, 1, 1, 0, 
327, 219, 0, 0, 1, 1, 0, 1, 1, 0, 1, 1, 
328, 217, 0, 0, 1, 1, 0, 1, 1, 0, 0, 1, 
329, 214, 0, 0, 1, 1, 0, 1, 0, 1, 1, 0, 
330, 214, 0, 0, 1, 1, 0, 1, 0, 1, 1, 0, 
331, 212, 0, 0, 1, 1, 0, 1, 0, 1, 0, 0, 
332, 209, 0, 0, 1, 1, 0, 1, 0, 0, 0, 1, 
333, 207, 0, 0, 1, 1, 0, 0, 1, 1, 1, 1, 
334, 204, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0, 
335, 204, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0, 
336, 202, 0, 0, 1, 1, 0, 0, 1, 0, 1, 0, 
337, 199, 0, 0, 1, 1, 0, 0, 0, 1, 1, 1, 
338, 197, 0, 0, 1, 1, 0, 0, 0, 1, 0, 1, 
339, 194, 0, 0, 1, 1, 0, 0, 0, 0, 1, 0, 
340, 192, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 
341, 192, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 
342, 189, 0, 0, 1, 0, 1, 1, 1, 1, 0, 1, 
343, 187, 0, 0, 1, 0, 1, 1, 1, 0, 1, 1, 
344, 185, 0, 0, 1, 0, 1, 1, 1, 0, 0, 1, 
345, 182, 0, 0, 1, 0, 1, 1, 0, 1, 1, 0, 
346, 182, 0, 0, 1, 0, 1, 1, 0, 1, 1, 0, 
347, 180, 0, 0, 1, 0, 1, 1, 0, 1, 0, 0, 
348, 177, 0, 0, 1, 0, 1, 1, 0, 0, 0, 1, 
349, 175, 0, 0, 1, 0, 1, 0, 1, 1, 1, 1, 
350, 173, 0, 0, 1, 0, 1, 0, 1, 1, 0, 1, 
351, 170, 0, 0, 1, 0, 1, 0, 1, 0, 1, 0, 
352, 170, 0, 0, 1, 0, 1, 0, 1, 0, 1, 0, 
353, 168, 0, 0, 1, 0, 1, 0, 1, 0, 0, 0, 
354, 166, 0, 0, 1, 0, 1, 0, 0, 1, 1, 0, 
355, 163, 0, 0, 1, 0, 1, 0, 0, 0, 1, 1, 
356, 161, 0, 0, 1, 0, 1, 0, 0, 0, 0, 1, 
357, 161, 0, 0, 1, 0, 1, 0, 0, 0, 0, 1, 
358, 159, 0, 0, 1, 0, 0, 1, 1, 1, 1, 1, 
359, 157, 0, 0, 1, 0, 0, 1, 1, 1, 0, 1, 
