Groups:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GPIO_[13..4] =, GPIO_[13], GPIO_[12], GPIO_[11], GPIO_[10], GPIO_[9], GPIO_[8], GPIO_[7], GPIO_[6], GPIO_[5], GPIO_[4],  unsigned decimal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fout1[27..18] =, fout1[27], fout1[26], fout1[25], fout1[24], fout1[23], fout1[22], fout1[21], fout1[20], fout1[19], fout1[18],  unsigned decimal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Group =, fout20, fout21, fout22, fout23, fout24, fout25, fout26, fout27,  unsigned decimal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tri[9..0] =, tri[9], tri[8], tri[7], tri[6], tri[5], tri[4], tri[3], tri[2], tri[1], tri[0],  unsigned decimal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
time unit: ms, GPIO_[13..4], GPIO_[13], GPIO_[12], GPIO_[11], GPIO_[10], GPIO_[9], GPIO_[8], GPIO_[7], GPIO_[6], GPIO_[5], GPIO_[4], fout1[27..18], fout1[27], fout1[26], fout1[25], fout1[24], fout1[23], fout1[22], fout1[21], fout1[20], fout1[19], fout1[18], Group, fout20, fout21, fout22, fout23, fout24, fout25, fout26, fout27, tri[9..0], tri[9], tri[8], tri[7], tri[6], tri[5], tri[4], tri[3], tri[2], tri[1], tri[0], 
0, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, 
76,589,1,0,0,1,0,0,1,1,0,1,589,1,0,0,1,0,0,1,1,0,1,50,0,0,1,1,0,0,1,0,662,1,0,1,0,0,1,0,1,1,0, 
77,589,1,0,0,1,0,0,1,1,0,1,589,1,0,0,1,0,0,1,1,0,1,178,1,0,1,1,0,0,1,0,662,1,0,1,0,0,1,0,1,1,0, 
78,590,1,0,0,1,0,0,1,1,1,0,590,1,0,0,1,0,0,1,1,1,0,178,1,0,1,1,0,0,1,0,664,1,0,1,0,0,1,1,0,0,0, 
79,590,1,0,0,1,0,0,1,1,1,0,590,1,0,0,1,0,0,1,1,1,0,114,0,1,1,1,0,0,1,0,666,1,0,1,0,0,1,1,0,1,0, 
80,591,1,0,0,1,0,0,1,1,1,1,591,1,0,0,1,0,0,1,1,1,1,114,0,1,1,1,0,0,1,0,666,1,0,1,0,0,1,1,0,1,0, 
81,592,1,0,0,1,0,1,0,0,0,0,592,1,0,0,1,0,1,0,0,0,0,242,1,1,1,1,0,0,1,0,668,1,0,1,0,0,1,1,1,0,0, 
82,592,1,0,0,1,0,1,0,0,0,0,592,1,0,0,1,0,1,0,0,0,0,10,0,0,0,0,1,0,1,0,668,1,0,1,0,0,1,1,1,0,0, 
83,593,1,0,0,1,0,1,0,0,0,1,593,1,0,0,1,0,1,0,0,0,1,10,0,0,0,0,1,0,1,0,670,1,0,1,0,0,1,1,1,1,0, 
84,593,1,0,0,1,0,1,0,0,0,1,593,1,0,0,1,0,1,0,0,0,1,138,1,0,0,0,1,0,1,0,672,1,0,1,0,1,0,0,0,0,0, 
85,594,1,0,0,1,0,1,0,0,1,0,594,1,0,0,1,0,1,0,0,1,0,138,1,0,0,0,1,0,1,0,672,1,0,1,0,1,0,0,0,0,0, 
86,595,1,0,0,1,0,1,0,0,1,1,595,1,0,0,1,0,1,0,0,1,1,74,0,1,0,0,1,0,1,0,674,1,0,1,0,1,0,0,0,1,0, 
87,595,1,0,0,1,0,1,0,0,1,1,595,1,0,0,1,0,1,0,0,1,1,202,1,1,0,0,1,0,1,0,674,1,0,1,0,1,0,0,0,1,0, 
88,596,1,0,0,1,0,1,0,1,0,0,596,1,0,0,1,0,1,0,1,0,0,202,1,1,0,0,1,0,1,0,676,1,0,1,0,1,0,0,1,0,0, 
89,597,1,0,0,1,0,1,0,1,0,1,597,1,0,0,1,0,1,0,1,0,1,42,0,0,1,0,1,0,1,0,678,1,0,1,0,1,0,0,1,1,0, 
90,597,1,0,0,1,0,1,0,1,0,1,597,1,0,0,1,0,1,0,1,0,1,170,1,0,1,0,1,0,1,0,678,1,0,1,0,1,0,0,1,1,0, 
91,598,1,0,0,1,0,1,0,1,1,0,598,1,0,0,1,0,1,0,1,1,0,170,1,0,1,0,1,0,1,0,680,1,0,1,0,1,0,1,0,0,0, 
92,598,1,0,0,1,0,1,0,1,1,0,598,1,0,0,1,0,1,0,1,1,0,106,0,1,1,0,1,0,1,0,682,1,0,1,0,1,0,1,0,1,0, 
93,599,1,0,0,1,0,1,0,1,1,1,599,1,0,0,1,0,1,0,1,1,1,106,0,1,1,0,1,0,1,0,682,1,0,1,0,1,0,1,0,1,0, 
94,600,1,0,0,1,0,1,1,0,0,0,600,1,0,0,1,0,1,1,0,0,0,234,1,1,1,0,1,0,1,0,684,1,0,1,0,1,0,1,1,0,0, 
95,600,1,0,0,1,0,1,1,0,0,0,600,1,0,0,1,0,1,1,0,0,0,26,0,0,0,1,1,0,1,0,684,1,0,1,0,1,0,1,1,0,0, 
96,601,1,0,0,1,0,1,1,0,0,1,601,1,0,0,1,0,1,1,0,0,1,26,0,0,0,1,1,0,1,0,686,1,0,1,0,1,0,1,1,1,0, 
97,601,1,0,0,1,0,1,1,0,0,1,601,1,0,0,1,0,1,1,0,0,1,154,1,0,0,1,1,0,1,0,688,1,0,1,0,1,1,0,0,0,0, 
98,602,1,0,0,1,0,1,1,0,1,0,602,1,0,0,1,0,1,1,0,1,0,154,1,0,0,1,1,0,1,0,688,1,0,1,0,1,1,0,0,0,0, 
99,603,1,0,0,1,0,1,1,0,1,1,603,1,0,0,1,0,1,1,0,1,1,90,0,1,0,1,1,0,1,0,690,1,0,1,0,1,1,0,0,1,0, 
100,603,1,0,0,1,0,1,1,0,1,1,603,1,0,0,1,0,1,1,0,1,1,218,1,1,0,1,1,0,1,0,690,1,0,1,0,1,1,0,0,1,0, 
101,604,1,0,0,1,0,1,1,1,0,0,604,1,0,0,1,0,1,1,1,0,0,218,1,1,0,1,1,0,1,0,692,1,0,1,0,1,1,0,1,0,0, 
102,605,1,0,0,1,0,1,1,1,0,1,605,1,0,0,1,0,1,1,1,0,1,58,0,0,1,1,1,0,1,0,694,1,0,1,0,1,1,0,1,1,0, 
103,605,1,0,0,1,0,1,1,1,0,1,605,1,0,0,1,0,1,1,1,0,1,186,1,0,1,1,1,0,1,0,694,1,0,1,0,1,1,0,1,1,0, 
104,606,1,0,0,1,0,1,1,1,1,0,606,1,0,0,1,0,1,1,1,1,0,186,1,0,1,1,1,0,1,0,696,1,0,1,0,1,1,1,0,0,0, 
105,606,1,0,0,1,0,1,1,1,1,0,606,1,0,0,1,0,1,1,1,1,0,122,0,1,1,1,1,0,1,0,698,1,0,1,0,1,1,1,0,1,0, 
106,607,1,0,0,1,0,1,1,1,1,1,607,1,0,0,1,0,1,1,1,1,1,122,0,1,1,1,1,0,1,0,698,1,0,1,0,1,1,1,0,1,0, 
