Groups:
GPIO_[13..4] =, GPIO_[13], GPIO_[12], GPIO_[11], GPIO_[10], GPIO_[9], GPIO_[8], GPIO_[7], GPIO_[6], GPIO_[5], GPIO_[4],  unsigned decimal

Data:
time unit: ms, GPIO_[13..4], GPIO_[13], GPIO_[12], GPIO_[11], GPIO_[10], GPIO_[9], GPIO_[8], GPIO_[7], GPIO_[6], GPIO_[5], GPIO_[4], 
0, X, X, X, X, X, X, X, X, X, X, X, 
192, 928, 1, 1, 1, 0, 1, 0, 0, 0, 0, 0, 
193, 930, 1, 1, 1, 0, 1, 0, 0, 0, 1, 0, 
194, 930, 1, 1, 1, 0, 1, 0, 0, 0, 1, 0, 
195, 931, 1, 1, 1, 0, 1, 0, 0, 0, 1, 1, 
196, 933, 1, 1, 1, 0, 1, 0, 0, 1, 0, 1, 
197, 935, 1, 1, 1, 0, 1, 0, 0, 1, 1, 1, 
198, 937, 1, 1, 1, 0, 1, 0, 1, 0, 0, 1, 
199, 938, 1, 1, 1, 0, 1, 0, 1, 0, 1, 0, 
200, 938, 1, 1, 1, 0, 1, 0, 1, 0, 1, 0, 
201, 940, 1, 1, 1, 0, 1, 0, 1, 1, 0, 0, 
202, 942, 1, 1, 1, 0, 1, 0, 1, 1, 1, 0, 
203, 944, 1, 1, 1, 0, 1, 1, 0, 0, 0, 0, 
204, 945, 1, 1, 1, 0, 1, 1, 0, 0, 0, 1, 
205, 945, 1, 1, 1, 0, 1, 1, 0, 0, 0, 1, 
206, 947, 1, 1, 1, 0, 1, 1, 0, 0, 1, 1, 
207, 949, 1, 1, 1, 0, 1, 1, 0, 1, 0, 1, 
208, 950, 1, 1, 1, 0, 1, 1, 0, 1, 1, 0, 
209, 952, 1, 1, 1, 0, 1, 1, 1, 0, 0, 0, 
210, 953, 1, 1, 1, 0, 1, 1, 1, 0, 0, 1, 
211, 953, 1, 1, 1, 0, 1, 1, 1, 0, 0, 1, 
212, 955, 1, 1, 1, 0, 1, 1, 1, 0, 1, 1, 
213, 956, 1, 1, 1, 0, 1, 1, 1, 1, 0, 0, 
214, 958, 1, 1, 1, 0, 1, 1, 1, 1, 1, 0, 
215, 960, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 
216, 960, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 
217, 961, 1, 1, 1, 1, 0, 0, 0, 0, 0, 1, 
218, 963, 1, 1, 1, 1, 0, 0, 0, 0, 1, 1, 
219, 964, 1, 1, 1, 1, 0, 0, 0, 1, 0, 0, 
220, 965, 1, 1, 1, 1, 0, 0, 0, 1, 0, 1, 
221, 967, 1, 1, 1, 1, 0, 0, 0, 1, 1, 1, 
222, 967, 1, 1, 1, 1, 0, 0, 0, 1, 1, 1, 
223, 968, 1, 1, 1, 1, 0, 0, 1, 0, 0, 0, 
224, 970, 1, 1, 1, 1, 0, 0, 1, 0, 1, 0, 
225, 971, 1, 1, 1, 1, 0, 0, 1, 0, 1, 1, 
226, 972, 1, 1, 1, 1, 0, 0, 1, 1, 0, 0, 
227, 972, 1, 1, 1, 1, 0, 0, 1, 1, 0, 0, 
228, 974, 1, 1, 1, 1, 0, 0, 1, 1, 1, 0, 
229, 975, 1, 1, 1, 1, 0, 0, 1, 1, 1, 1, 
230, 976, 1, 1, 1, 1, 0, 1, 0, 0, 0, 0, 
231, 978, 1, 1, 1, 1, 0, 1, 0, 0, 1, 0, 
232, 979, 1, 1, 1, 1, 0, 1, 0, 0, 1, 1, 
233, 979, 1, 1, 1, 1, 0, 1, 0, 0, 1, 1, 
234, 980, 1, 1, 1, 1, 0, 1, 0, 1, 0, 0, 
235, 982, 1, 1, 1, 1, 0, 1, 0, 1, 1, 0, 
236, 983, 1, 1, 1, 1, 0, 1, 0, 1, 1, 1, 
237, 984, 1, 1, 1, 1, 0, 1, 1, 0, 0, 0, 
